Cytokine,Disease,Reference,Uniprot
EGF,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7350257/pdf/ijms-21-04507.pdf,
IGF 1,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7350257/pdf/ijms-21-04507.pdf,
IL 6,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7350257/pdf/ijms-21-04507.pdf,
CXCL12,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352203/pdf/ijms-21-04449.pdf,
TGF beta,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352203/pdf/ijms-21-04449.pdf,
VEGF,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352203/pdf/ijms-21-04449.pdf,
RANKL,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352203/pdf/ijms-21-04449.pdf,
CCL2,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352203/pdf/ijms-21-04449.pdf,
CX3CL1,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352203/pdf/ijms-21-04449.pdf,
IL 1,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352203/pdf/ijms-21-04449.pdf,
IL 7,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352203/pdf/ijms-21-04449.pdf,
CXCL1,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352203/pdf/ijms-21-04449.pdf,
CXCL16,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352203/pdf/ijms-21-04449.pdf,
IL 8,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7301761/pdf/nihms-1589745.pdf,
IL 10,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6120714/pdf/1105.pdf,
CXCL13,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6120714/pdf/1105.pdf,
CXCL5,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6120714/pdf/1105.pdf,
IL 2,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6120714/pdf/1105.pdf,
GDF 15,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8803327/pdf/jci-132-155031.pdf,
IL 4,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8910587/pdf/ijms-23-02569.pdf,
TNF alpha,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8910587/pdf/ijms-23-02569.pdf,
IL 17,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8910587/pdf/ijms-23-02569.pdf,
IFN gamma,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8618001/pdf/ijms-22-12330.pdf,
IL 15,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8618001/pdf/ijms-22-12330.pdf,
IL 27,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8618001/pdf/ijms-22-12330.pdf,
FGF,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6683070/pdf/nutrients-11-01483.pdf,
CCL5,Prostate cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6683070/pdf/nutrients-11-01483.pdf,
CXCL12,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8267786/pdf/ijms-22-06888.pdf,
VEGF,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8267786/pdf/ijms-22-06888.pdf,
CCL3,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8267786/pdf/ijms-22-06888.pdf,
TNF alpha,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8267786/pdf/ijms-22-06888.pdf,
CCL8,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8722462/pdf/nihms-1765854.pdf,
CCL9,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8722462/pdf/nihms-1765854.pdf,
IL 10,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8722462/pdf/nihms-1765854.pdf,
TGF beta,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8722462/pdf/nihms-1765854.pdf,
CCL19,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8722462/pdf/nihms-1765854.pdf,
CCL21,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8722462/pdf/nihms-1765854.pdf,
CX3CL1,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8722462/pdf/nihms-1765854.pdf,
IL 6,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102187/pdf/41375_2021_Article_1238.pdf,
EGF,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7520360/pdf/CAM4-9-6533.pdf,
CXCL10,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7520360/pdf/CAM4-9-6533.pdf,
G CSF,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7520360/pdf/CAM4-9-6533.pdf,
IL 2,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7720594/pdf/13045_2020_Article_996.pdf,
IL 12,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7720594/pdf/13045_2020_Article_996.pdf,
IL 15,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7720594/pdf/13045_2020_Article_996.pdf,
IL 18,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7720594/pdf/13045_2020_Article_996.pdf,
IL 21,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7720594/pdf/13045_2020_Article_996.pdf,
IL 1,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5843897/pdf/leu2017261a.pdf,
IL 9,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5843897/pdf/leu2017261a.pdf,
FGF,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5843897/pdf/leu2017261a.pdf,
FLT 3L,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5843897/pdf/leu2017261a.pdf,
PDGF,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5843897/pdf/leu2017261a.pdf,
IFN gamma,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095494/pdf/IMM-149-460.pdf,
CCL11,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6924073/pdf/40425_2019_Article_777.pdf,
IL 5,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6924073/pdf/40425_2019_Article_777.pdf,
KC,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6924073/pdf/40425_2019_Article_777.pdf,
CCL2,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6924073/pdf/40425_2019_Article_777.pdf,
CXCL9,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6924073/pdf/40425_2019_Article_777.pdf,
IL 8,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787307/pdf/nihms-1655152.pdf,
IL 4,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787307/pdf/nihms-1655152.pdf,
IL 13,Leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787307/pdf/nihms-1655152.pdf,
IFN gamma,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8805140/pdf/41571_2022_Article_603.pdf,
TNF alpha,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8805140/pdf/41571_2022_Article_603.pdf,
IL 2,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8805140/pdf/41571_2022_Article_603.pdf,
IL 17,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8805140/pdf/41571_2022_Article_603.pdf,
IL 10,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6644273/pdf/OMCL2019-5832410.pdf,
IL 1,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491969/pdf/IJC-144-334.pdf,
CCL2,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491969/pdf/IJC-144-334.pdf,
CCL5,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491969/pdf/IJC-144-334.pdf,
CCL3,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491969/pdf/IJC-144-334.pdf,
CCL4,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491969/pdf/IJC-144-334.pdf,
CCL7,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491969/pdf/IJC-144-334.pdf,
CCL8,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491969/pdf/IJC-144-334.pdf,
CXCL1,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491969/pdf/IJC-144-334.pdf,
CX3CL1,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491969/pdf/IJC-144-334.pdf,
CXCL5,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491969/pdf/IJC-144-334.pdf,
CXCL6,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491969/pdf/IJC-144-334.pdf,
IL 12,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4507986/pdf/pone.0133681.pdf,
IL 6,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4507986/pdf/pone.0133681.pdf,
IL 8,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4507986/pdf/pone.0133681.pdf,
IL 18,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7418847/pdf/jitc-2020-001053.pdf,
IL 22,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7418847/pdf/jitc-2020-001053.pdf,
IL 23,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7418847/pdf/jitc-2020-001053.pdf,
CCL20,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7418847/pdf/jitc-2020-001053.pdf,
TGF alpha,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7418847/pdf/jitc-2020-001053.pdf,
CSF 1,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7418847/pdf/jitc-2020-001053.pdf,
TGF beta,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7418847/pdf/jitc-2020-001053.pdf,
IL 3,Oropharyngeal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7418847/pdf/jitc-2020-001053.pdf,
IL 1,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195486/pdf/41467_2020_Article_15980.pdf,
TNF alpha,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195486/pdf/41467_2020_Article_15980.pdf,
CXCL1,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195486/pdf/41467_2020_Article_15980.pdf,
CCL20,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195486/pdf/41467_2020_Article_15980.pdf,
CSF 2,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195486/pdf/41467_2020_Article_15980.pdf,
IFN gamma,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195486/pdf/41467_2020_Article_15980.pdf,
TGF beta,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195486/pdf/41467_2020_Article_15980.pdf,
CXCL5,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7843497/pdf/bsr-41-bsr20202133.pdf,
IL 12,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8236714/pdf/fimmu-12-682030.pdf,
IL 18,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8236714/pdf/fimmu-12-682030.pdf,
G CSF,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6700585/pdf/bcr-2019-230826.pdf,
IFN alpha,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3047574/pdf/pone.0017517.pdf,
CCL3,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9343588/pdf/fonc-12-935093.pdf,
CCL4,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9343588/pdf/fonc-12-935093.pdf,
IL 8,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9343588/pdf/fonc-12-935093.pdf,
CXCL9,Penile Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9343588/pdf/fonc-12-935093.pdf,
IL 2,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5817719/pdf/12943_2018_Article_786.pdf,
TNF alpha,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5817719/pdf/12943_2018_Article_786.pdf,
IFN gamma,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5817719/pdf/12943_2018_Article_786.pdf,
CXCL1,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5817719/pdf/12943_2018_Article_786.pdf,
CXCL10,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5817719/pdf/12943_2018_Article_786.pdf,
IL 8,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5817719/pdf/12943_2018_Article_786.pdf,
IL 12,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5817719/pdf/12943_2018_Article_786.pdf,
IL 10,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5817719/pdf/12943_2018_Article_786.pdf,
TGF beta,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5817719/pdf/12943_2018_Article_786.pdf,
CCL2,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5817719/pdf/12943_2018_Article_786.pdf,
CCL15,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6966476/pdf/cancers-11-01988.pdf,
CXCL12,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6966476/pdf/cancers-11-01988.pdf,
CXCL16,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6966476/pdf/cancers-11-01988.pdf,
IL 1,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7325887/pdf/fimmu-11-01124.pdf,
IL 38,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7325887/pdf/fimmu-11-01124.pdf,
IL 22,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7325887/pdf/fimmu-11-01124.pdf,
IL 17,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7325887/pdf/fimmu-11-01124.pdf,
IL 4,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7325887/pdf/fimmu-11-01124.pdf,
IL 13,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8147376/pdf/cells-10-01082.pdf,
CSF 1,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8147376/pdf/cells-10-01082.pdf,
CCL22,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8147376/pdf/cells-10-01082.pdf,
CCL25,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8199761/pdf/cancers-13-02775.pdf,
IL 6,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8199761/pdf/cancers-13-02775.pdf,
IL 21,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6720642/pdf/ijms-20-03934.pdf,
IL 24,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6720642/pdf/ijms-20-03934.pdf,
CXCL9,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6720642/pdf/ijms-20-03934.pdf,
CXCL11,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6720642/pdf/ijms-20-03934.pdf,
CXCL4,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6720642/pdf/ijms-20-03934.pdf,
CCL20,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6720642/pdf/ijms-20-03934.pdf,
CCL3,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8112200/pdf/fendo-11-637826.pdf,
CCL4,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8112200/pdf/fendo-11-637826.pdf,
CCL5,Thyroid Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8112200/pdf/fendo-11-637826.pdf,
IL 1,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9143279/pdf/ijms-23-05756.pdf,
IL 17,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9143279/pdf/ijms-23-05756.pdf,
TNF alpha,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9143279/pdf/ijms-23-05756.pdf,
TGF beta,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8432036/pdf/jcm-10-03900.pdf,
IL 6,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8432036/pdf/jcm-10-03900.pdf,
CCL2,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8432036/pdf/jcm-10-03900.pdf,
CCL5,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8432036/pdf/jcm-10-03900.pdf,
IL 8,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8432036/pdf/jcm-10-03900.pdf,
VEGF,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8432036/pdf/jcm-10-03900.pdf,
EGF,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8432036/pdf/jcm-10-03900.pdf,
HGF,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8432036/pdf/jcm-10-03900.pdf,
FGF,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8432036/pdf/jcm-10-03900.pdf,
IL 2,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9141615/pdf/ijms-23-05307.pdf,
IL 12,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9141615/pdf/ijms-23-05307.pdf,
IL 15,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9141615/pdf/ijms-23-05307.pdf,
G CSF,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9141615/pdf/ijms-23-05307.pdf,
IL 18,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9392984/pdf/BJBMS-22-499.pdf,
CXCL12,Endometrial Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8869947/pdf/cells-11-00714.pdf,
TNF alpha,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8123426/pdf/ijms-22-04483.pdf,
IL 4,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8123426/pdf/ijms-22-04483.pdf,
IL 5,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8123426/pdf/ijms-22-04483.pdf,
IL 6,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8123426/pdf/ijms-22-04483.pdf,
IL 8,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8123426/pdf/ijms-22-04483.pdf,
IL 17,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8123426/pdf/ijms-22-04483.pdf,
IL 20,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8123426/pdf/ijms-22-04483.pdf,
IL 28,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8123426/pdf/ijms-22-04483.pdf,
TGF beta,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8123426/pdf/ijms-22-04483.pdf,
IFN alpha,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8123426/pdf/ijms-22-04483.pdf,
IL 2,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4969711/pdf/blc-2-blc160054.pdf,
IL 22,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8525153/pdf/CAM4-,
IL 9,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8525153/pdf/CAM4-,
IL 13,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8525153/pdf/CAM4-,
IL 15,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5063594/pdf/dddt-10-3305.pdf,
CCL18,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6412916/pdf/ijms-20-,
IL 18,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8197880/pdf/ijms-,
IL 1,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8197880/pdf/ijms-,
IL 3,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8197880/pdf/ijms-,
IL 7,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8197880/pdf/ijms-,
IL 10,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8197880/pdf/ijms-,
IL 12,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8197880/pdf/ijms-,
IL 16,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8197880/pdf/ijms-,
IFN gamma,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8197880/pdf/ijms-,
CCL17,Bladder Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8197880/pdf/ijms-22-05938.pdf,
IL 1,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4890569/pdf/nihms758509.pdf,
IL 6,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4890569/pdf/nihms758509.pdf,
IL 17,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4890569/pdf/nihms758509.pdf,
TGF beta,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024750/pdf/medsci-06-00031.pdf,
CXCL10,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024750/pdf/medsci-06-00031.pdf,
CCL25,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024750/pdf/medsci-06-00031.pdf,
IL 23,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024750/pdf/medsci-06-00031.pdf,
IL 8,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024750/pdf/medsci-06-00031.pdf,
IL 11,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024750/pdf/medsci-06-00031.pdf,
IL 18,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024750/pdf/medsci-06-00031.pdf,
IL 22,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024750/pdf/medsci-06-00031.pdf,
TNF alpha,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8783679/pdf/jciinsight-,
CCL3,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8783679/pdf,
CXCL2,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8783679/pdf/jciinsight-,
IFN gamma,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7672678/pdf/10.1177_205064061,
IL 2,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7082344/pdf/41392_2020_Article_116.pdf,
IL 7,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8122718/pdf/cancers-13- 02025.pdf,
IL 32,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8508474/pdf/ijms-22- 10260.pdf,
CCL19,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8508474/pdf/ijms-22- 10260.pdf,
CCL2,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8508474/pdf/ijms-22- 10260.pdf,
CCL4,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8508474/pdf/ijms-22- 10260.pdf,
CCL5,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8508474/pdf/ijms-22- 10260.pdf,
CX3CL1,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8508474/pdf/ijms-22- 10260.pdf,
CXCL5,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6710177/pdf/WJG-25- 4383.pdf,
CXCL16,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6710177/pdf/WJG-25- 4383.pdf,
CCL18,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6333993/pdf/crt-2017- 613.pdf,
CCL21,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6333993/pdf/crt-2017- 613.pdf,
CXCL12,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6333993/pdf/crt-2017- 613.pdf,
IL 10,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6333993/pdf/crt-2017- 613.pdf,
IL 12,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8752802/pdf/41423_2021_Article_ 735.pdf,
IL 9,Colorectal Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7435263/pdf/41416_2020_Article_ 924.pdf,
IL 6,Melanoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5751298/pdf/ijms-18-02697.pdf,
IL 8,Melanoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5751298/pdf/ijms-18-02697.pdf,
IL 20,Melanoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5751298/pdf/ijms-18-02697.pdf,
TGF beta,Melanoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5751298/pdf/ijms-18-02697.pdf,
